Unnamed: 0.2,Unnamed: 0.1,index,Unnamed: 0,contains_embedding_layer,n_cnn_layers,n_filters,kernel_size,n_dense,dense_layer_size,learning_rate,dropout_rate,fit_batch_size,loss,optimizer,fit_epochs,embedding_vector_length,type_of_model,val_auc,std_val_auc,val_f1,std_val_f1,val_accuracy,std_val_accuracy,val_precision,std_val_precision,val_recall,std_val_recall,val_mcc,std_val_mcc
0,0,6585,6585,False,4,3,5,2,16,0.005,0.25,32,binary_crossentropy,adam,200,64,cnn,0.6287611795578665,0.07839422014643585,0.24734690658071418,0.28988832017664323,0.5205872546563022,0.02612076896323561,0.5268591772151898,0.41940982201521176,0.3272947772947773,0.46553280551578136,0.06717946790104092,0.08921798442738431
1,1,4337,4337,False,2,7,9,4,64,0.001,0.25,128,binary_crossentropy,adam,200,64,cnn,0.5385641063265347,0.02710451527426432,0.33036928024894946,0.2943355038335576,0.5117845402776194,0.012835248201620231,0.3464583333333333,0.2394052276791872,0.41968254990775367,0.44215400419598727,0.018161576059541377,0.03576166290200867
2,2,8741,8741,False,4,7,9,4,256,0.005,0.0,128,binary_crossentropy,adam,200,32,cnn,0.6707256687748014,0.0489353153643916,0.24736363389035382,0.28367880520076216,0.5420091096141346,0.043840049892024405,0.4098839540660246,0.3783159212078207,0.27475424119259734,0.3888048069901055,0.09887972202167453,0.1130757074019941
3,3,8438,8438,False,4,7,7,4,16,0.001,0.1,128,binary_crossentropy,adam,200,32,cnn,0.506299800343691,0.06348206411480398,0.39872960923854994,0.32768543811811907,0.49512906903890397,0.016494036822574706,0.42376507532821217,0.2831550116471201,0.6038794538794539,0.5114396963905808,0.0020096833108910694,0.03386064962351602
